label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0042995	CC	24	24	0.8643676661818319	amphioxus	rbh	all	fish	fish	50.6	650	0.5416666666666666
amphioxus.rbh.all	SYN_GO0042995	MF	3	20	0.4115001659777052	amphioxus	rbh	all	fish	fish	50.6	650	0.3333333333333333
amphioxus.rbh.all	SYN_GO0043067	BP	50	28	0.7212808729352129	amphioxus	rbh	all	fish	fish	50.6	650	0.2307692307692307
amphioxus.rbh.all	SYN_GO0043067	CC	1	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0043067	MF	1	6	0.2268809364925568	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0043167	BP	11	12	0.6805199604092309	amphioxus	rbh	all	fish	fish	50.6	650	0.5454545454545454
amphioxus.rbh.all	SYN_GO0043167	CC	1	6	0.5715751280842767	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0043167	MF	37	17	0.7250626270622841	amphioxus	rbh	all	fish	fish	50.6	650	0.2972972972972973
amphioxus.rbh.all	SYN_GO0043170	BP	50	37	0.90483009262845	amphioxus	rbh	all	fish	fish	50.6	650	0.2279411764705882
amphioxus.rbh.all	SYN_GO0043170	CC	13	10	0.7555036384992636	amphioxus	rbh	all	fish	fish	50.6	650	0.3076923076923077
amphioxus.rbh.all	SYN_GO0043170	MF	18	11	0.8004577084884076	amphioxus	rbh	all	fish	fish	50.6	650	0.2777777777777778
amphioxus.rbh.all	SYN_GO0043227	BP	50	38	0.7187394569685145	amphioxus	rbh	all	fish	fish	50.6	650	0.1566265060240964
amphioxus.rbh.all	SYN_GO0043227	CC	47	19	0.7593484662184604	amphioxus	rbh	all	fish	fish	50.6	650	0.2340425531914893
amphioxus.rbh.all	SYN_GO0043227	MF	4	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
