track	ref	clade	method	evset	aspect	ic_bin	wang_bma	recall	f1	n_terms	median_pident
fish	tilapia	fish	besthit	all	BP	mid			0.0	0.0	71.5
fish	tilapia	fish	besthit	all	BP	shallow		0.35578223556365307	0.4081814519637211	125.15238095238095	71.5
fish	tilapia	fish	besthit	all	CC	mid			0.0	0.0	71.5
fish	tilapia	fish	besthit	all	CC	shallow		0.3884144111860498	0.3133275131050989	10.440860215053764	71.5
fish	tilapia	fish	besthit	all	MF	mid			0.0	0.0	71.5
fish	tilapia	fish	besthit	all	MF	shallow		0.5357994029182419	0.3984062510013266	13.970297029702971	71.5
fish	tilapia	fish	rbh	all	BP	mid			0.0	0.0	71.5
fish	tilapia	fish	rbh	all	BP	shallow		0.32556966466422826	0.392645527047309	125.15238095238095	71.5
fish	tilapia	fish	rbh	all	CC	mid			0.0	0.0	71.5
fish	tilapia	fish	rbh	all	CC	shallow		0.3470515869867396	0.30396581838993764	10.78888888888889	71.5
fish	tilapia	fish	rbh	all	MF	mid			0.0	0.0	71.5
fish	tilapia	fish	rbh	all	MF	shallow		0.4605057899755729	0.3610954722955983	14.39795918367347	71.5
